query_key,query,geocoder,lat,lon,display_name_geocoder,geocode_status,geocode_source,match_level,relevance,isla_esperada,validated_in_island
21d14ebdc0165ac4,"C/ ADEJE, Nº 35, Adeje, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.1010971,-16.711465,"Camino Viejo de Adeje, Fañabé, Miraverde, Adeje, Santa Cruz de Tenerife, Canarias, 38670, España",ok,nominatim,direccion_completa,0.05338755855649649,TENERIFE,TRUE
2ba8f48c0cb4db2c,"AVDA. ROSA DE LOS VIENTOS, 16, Adeje, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
f62e07b47174127c,"Adeje, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.1394395,-16.7394564,"Adeje, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,municipio_isla,0.4748479925653225,TENERIFE,TRUE
382056d8ee4f32e5,"C/ RAFAEL CLAVIJO GARCÍA, 11, Arafo, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3414416,-16.4173344,"Calle Rafael Clavijo García, Cosme, Arafo, Santa Cruz de Tenerife, Canarias, 38550, España",ok,nominatim,direccion_completa,0.05338544823376818,TENERIFE,TRUE
5b8cf84358f4a18b,"C/ VISTA EL BALO-ICOR, S/N, Arico, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
38e843fb5c6abd22,"Arico, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.190527,-16.49776,"Arico, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,municipio_isla,0.45219581606325543,TENERIFE,TRUE
eb106d253cbf54a9,"AVDA. JUAN CARLOS I, 22, Arona, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.0509046,-16.7130829,"Avenida de Juan Carlos I, Oasis del Sur, Los Cristianos, Arona, Santa Cruz de Tenerife, Canarias, 38650, España",ok,nominatim,direccion_completa,0.05338742885481037,TENERIFE,TRUE
e51b75a66aae6cf1,"C/ EL HORNO, Nº 4, BUENA VISTA DEL NORTE, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
388d39dd26b57954,"BUENA VISTA DEL NORTE, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,municipio_isla,,TENERIFE,
d0d6c01a7458d422,"TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.467178,-16.2507843,"Santa Cruz de Tenerife, Canarias, España",ok,nominatim,isla,0.601592458766793,TENERIFE,TRUE
87f2bd84e65a26c8,"C/ FRANCISCO GARBOTE GARCÍA, Nº 3, Candelaria, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
876e9945474f485a,"Candelaria, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3769822,-16.3982985,"Candelaria, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,municipio_isla,0.4658967854999311,TENERIFE,TRUE
220589cc375daf64,"AVDA. MARÍTIMA 194, Candelaria, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3821096,-16.362174,"Avenida Marítima, Arigoña, Candelaria, Santa Cruz de Tenerife, Canarias, 38520, España",ok,nominatim,direccion_completa,0.05338676966506443,TENERIFE,TRUE
002758fc6d89c75c,"C/ CASERÍO LLANO BLANCO, S/N, El Rosario, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
ef34429524124644,"El Rosario, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.4325451,-16.3684291,"El Rosario, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,municipio_isla,0.451002635676121,TENERIFE,TRUE
2f224f75c4e94b5f,"C/ SAN ELCANO, 2, El Rosario, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
e4df70dcd6072fed,"C/ PEDRO JULIÁN DE ARMAS, Nº 9, El Sauzal, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
1e5e96c1dcea74c7,"El Sauzal, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.4505705,-16.4209055,"El Sauzal, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,municipio_isla,0.4520643089223901,TENERIFE,TRUE
8298ddd569640860,"C/ EMILIANO DÍAZ CASTRO, Nº 13, Fasnia, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.2358055,-16.4400425,"Calle Emiliano Díaz Castro, Fasnia, Santa Cruz de Tenerife, Canarias, 38570, España",ok,nominatim,direccion_completa,0.053385237659266,TENERIFE,TRUE
d2033b5677cdb599,"C/ PLAZA SANTO DOMINGO, 1, Garachico, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
19b815259bf1bb81,"Garachico, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3266196,-16.75198,"Garachico, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,municipio_isla,0.45904993504418296,TENERIFE,TRUE
1137043d215c6953,"C/ SALTADERO, Nº 28, SAN ISIDRO, Granadilla de Abona, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.0711761,-16.5586144,"Calle el Saltadero, Chuchurumbache, San Isidro, Castro, Granadilla de Abona, Santa Cruz de Tenerife, Canarias, 38611, España",ok,nominatim,direccion_completa,0.05338696955825128,TENERIFE,TRUE
2b65e3230bbe9d37,"C/ ÁNGEL AROCHA, 42-44 - CHIMICHE, Granadilla de Abona, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.1316127,-16.5294328,"Calle Ángel Arocha, Chimiche, Granadilla de Abona, Santa Cruz de Tenerife, Canarias, 38594, España",ok,nominatim,direccion_completa,0.05338696955825128,TENERIFE,TRUE
c7f55dcb6f6d7bcf,"C/ HERNÁN CORTÉS Nº 6, Güímar, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.2959188,-16.37613,"Calle Hernán Cortés, Urbanización Las Palmeras, Puertito de Güímar, Güímar, Santa Cruz de Tenerife, Canarias, 38508, España",ok,nominatim,direccion_completa,0.05338703212024105,TENERIFE,TRUE
a3cba8ad1afe4036,"C/ SAN ANTONIO Nº 7, Icod de los Vinos, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3635128,-16.7194295,"Calle San Antonio, San Antonio, Boquín, Icod de los Vinos, Santa Cruz de Tenerife, Canarias, 38430, España",ok,nominatim,direccion_completa,0.05338706721599142,TENERIFE,TRUE
1dd4212c09cd2c17,"CAMINO EL CARDONAL, S/N, Icod de los Vinos, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3829052,-16.6978556,"Camino el Cardonal, El Empalme, La Mancha, Icod de los Vinos, Santa Cruz de Tenerife, Canarias, 38434, España",ok,nominatim,direccion_completa,0.05338706721599142,TENERIFE,TRUE
f25c5696cfd3d619,"C/ CAMINO DE LAS GAVIOTAS, Nº 22 (BUEN PASO), Icod de los Vinos, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
629d0332dc091652,"Icod de los Vinos, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3330922,-16.6915591,"Icod de los Vinos, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,municipio_isla,0.46449644112233346,TENERIFE,TRUE
46eb6093f11b1718,"C/ SOLÍTICA, S/N, La Guancha, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
cfd60d34b89b4ba9,"La Guancha, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3508624,-16.644864,"La Guancha, Santa Cruz de Tenerife, Canarias, 38440, España",ok,nominatim,municipio_isla,0.4464316739459015,TENERIFE,TRUE
60aa031348d0d937,"AVDA 8 DE AGOSTO C/ PESCADORES, 2 – SANTO DOMINGO, La Guancha, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
dc6ba3348fc1c902,"CALLE REAL, 232, La Matanza de Acentejo, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.445828,-16.4568016,"Calle Real, Guía, Tío Andrés, La Matanza de Acentejo, Santa Cruz de Tenerife, Canarias, 38370, España",ok,nominatim,direccion_completa,0.0533856374456397,TENERIFE,TRUE
50693d0a4a891144,"C/ CALVARIO, Nº 41 PLAZA DE SAN SEBASTIÁN, La Orotava, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
7f21c665d30d581e,"La Orotava, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3898829,-16.5235692,"La Orotava, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,municipio_isla,0.4834592678373481,TENERIFE,TRUE
dd10a34bf9f4d866,"C/ PILOTO, 82, Los Realejos, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3835223,-16.5824953,"Calle Piloto, San Benito, La Carrera, Los Realejos, Santa Cruz de Tenerife, Canarias, 38419, España",ok,nominatim,direccion_completa,0.05338719386587316,TENERIFE,TRUE
c24a9f13305ce6da,"C/ PLACETA DE LA CONSTITUCIÓN, Nº 6, Los Silos, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
2fdb8f8fdb126a50,"Los Silos, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.3523468,-16.8142516,"Los Silos, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,municipio_isla,0.448479523260135,TENERIFE,TRUE
a1d08c6b36525fb9,"C/ BREZOS, Nº 19, URB. LA PAZ, Puerto de la Cruz, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
c72a92535c726620,"Puerto de la Cruz, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.4159024,-16.5532956,"Puerto de la Cruz, Santa Cruz de Tenerife, Canarias, 38400, España",ok,nominatim,municipio_isla,0.4964306539018539,TENERIFE,TRUE
489068180879cfe3,"C/ COLOGÁN, Nº 19, Puerto de la Cruz, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,28.4153575,-16.5483576,"Calle Cólogan, La Ranilla, San Fernando, Las Dehesas, Puerto de la Cruz, Santa Cruz de Tenerife, Canarias, 38400, España",ok,nominatim,direccion_completa,0.05338934386205841,TENERIFE,TRUE
a03b4b8c155e5ca9,"CRTA. GENERAL LAS DEHESAS, Nº 127, Puerto de la Cruz, TENERIFE, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,TENERIFE,
